SheetName|ListObjectName|ListObjectHeader|Value
Parameters|tbl_Parameters|Parameter|DateStart
Parameters|tbl_Parameters|Parameter|DateEnd
Parameters|tbl_Parameters|Parameter|Number of account code digits
Parameters|tbl_Parameters|Parameter|Retained earnings account code
Parameters|tbl_Parameters|Parameter|Start of P&L account code
Parameters|tbl_Parameters|Parameter|OutputFilePath
Parameters|tbl_Parameters|Comments|
Parameters|tbl_Parameters|Comments|
Parameters|tbl_Parameters|Comments|Utilised to split account between code and its description
Parameters|tbl_Parameters|Comments|For TB roll up purposes
Parameters|tbl_Parameters|Comments|For TB roll up purposes
Parameters|tbl_Parameters|Comments|
Parameters|tbl_Parameters|Value|01/01/2018
Parameters|tbl_Parameters|Value|31/12/2020
Parameters|tbl_Parameters|Value|4
Parameters|tbl_Parameters|Value|3120
Parameters|tbl_Parameters|Value|4000
Parameters|tbl_Parameters|Value|C:\Users\charl\Dropbox\Dropbox_Charl\Computer_Technical\Programming_GitHub\SampleFinancialDataCreator\OutputFiles
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|1110 Account Dog Bank
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|1120 Account Cat Bank
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|1130 Account Kangaroo Bank
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|1210 Receivables Labrador State
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|1220 Receivables Poodle State
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|1230 Receivables Persian State
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|1310 Inventory Dog Food
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|1320 Inventory Cat Toys
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|1330 Inventory Fish Tanks
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|1410 Buildings
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|1420 Furntiure
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|1430 Servers
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|1440 Computers
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|1510 Brand
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|2110 Dog Bank overdraft
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|2120 Cat Bank overdraft
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|2210 Creditors for dog goods
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|2220 Creditors for cat goods
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|2310 Loan - Shark 1
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|2320 Loan - Shark 2
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|3110 Share capital
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|3120 Retained Earnings
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|4110 Sales dog goods
ChartOfAccounts|tbl_InputChartOfAccounts|Account Code and Description|4120 Sales cat goods
